query_id Q0 docid rank BM25_Stopping_score system_name
18 Q0 2714 1 1.278495 BM25_Stopping_
18 Q0 3075 2 0.653348 BM25_Stopping_
18 Q0 1795 3 0.523189 BM25_Stopping_
18 Q0 2685 4 0.439858 BM25_Stopping_
18 Q0 2896 5 0.421820 BM25_Stopping_
18 Q0 141 6 0.401387 BM25_Stopping_
18 Q0 1262 7 0.401387 BM25_Stopping_
18 Q0 3156 8 0.395792 BM25_Stopping_
18 Q0 392 9 0.375857 BM25_Stopping_
18 Q0 2973 10 0.375857 BM25_Stopping_
18 Q0 3059 11 0.374533 BM25_Stopping_
18 Q0 1158 12 0.366153 BM25_Stopping_
18 Q0 2700 13 0.353380 BM25_Stopping_
18 Q0 2266 14 0.321582 BM25_Stopping_
18 Q0 2748 15 0.320994 BM25_Stopping_
18 Q0 2495 16 0.312503 BM25_Stopping_
18 Q0 2897 17 0.308403 BM25_Stopping_
18 Q0 2342 18 0.305566 BM25_Stopping_
18 Q0 2491 19 0.300158 BM25_Stopping_
18 Q0 1811 20 0.267185 BM25_Stopping_
18 Q0 48 21 0.261810 BM25_Stopping_
18 Q0 2785 22 0.259745 BM25_Stopping_
18 Q0 2834 23 0.250790 BM25_Stopping_
18 Q0 2865 24 0.248522 BM25_Stopping_
18 Q0 1846 25 0.244242 BM25_Stopping_
18 Q0 1362 26 0.242024 BM25_Stopping_
18 Q0 1665 27 0.226078 BM25_Stopping_
18 Q0 2175 28 0.219597 BM25_Stopping_
18 Q0 2570 29 0.217273 BM25_Stopping_
18 Q0 2401 30 0.211466 BM25_Stopping_
18 Q0 1601 31 0.207749 BM25_Stopping_
18 Q0 950 32 0.202669 BM25_Stopping_
18 Q0 82 33 0.201820 BM25_Stopping_
18 Q0 1569 34 0.195528 BM25_Stopping_
18 Q0 2740 35 0.192813 BM25_Stopping_
18 Q0 2895 36 0.183868 BM25_Stopping_
18 Q0 1652 37 0.182638 BM25_Stopping_
18 Q0 1655 38 0.179453 BM25_Stopping_
18 Q0 1468 39 0.179372 BM25_Stopping_
18 Q0 195 40 0.178051 BM25_Stopping_
18 Q0 2706 41 0.177007 BM25_Stopping_
18 Q0 2080 42 0.176324 BM25_Stopping_
18 Q0 2557 43 0.175669 BM25_Stopping_
18 Q0 3175 44 0.172878 BM25_Stopping_
18 Q0 1289 45 0.172004 BM25_Stopping_
18 Q0 1756 46 0.170079 BM25_Stopping_
18 Q0 2533 47 0.170079 BM25_Stopping_
18 Q0 1828 48 0.167508 BM25_Stopping_
18 Q0 1414 49 0.166355 BM25_Stopping_
18 Q0 1064 50 0.166355 BM25_Stopping_
18 Q0 3080 51 0.165379 BM25_Stopping_
18 Q0 2433 52 0.163675 BM25_Stopping_
18 Q0 2195 53 0.162146 BM25_Stopping_
18 Q0 1187 54 0.161064 BM25_Stopping_
18 Q0 3066 55 0.157745 BM25_Stopping_
18 Q0 1825 56 0.154842 BM25_Stopping_
18 Q0 100 57 0.154253 BM25_Stopping_
18 Q0 1232 58 0.151432 BM25_Stopping_
18 Q0 2838 59 0.147221 BM25_Stopping_
18 Q0 66 60 0.147036 BM25_Stopping_
18 Q0 2182 61 0.146916 BM25_Stopping_
18 Q0 2851 62 0.146009 BM25_Stopping_
18 Q0 1757 63 0.143563 BM25_Stopping_
18 Q0 2497 64 0.141874 BM25_Stopping_
18 Q0 1807 65 0.139311 BM25_Stopping_
18 Q0 2551 66 0.139307 BM25_Stopping_
18 Q0 230 67 0.138967 BM25_Stopping_
18 Q0 1947 68 0.137047 BM25_Stopping_
18 Q0 2138 69 0.135727 BM25_Stopping_
18 Q0 1670 70 0.134062 BM25_Stopping_
18 Q0 2659 71 0.133556 BM25_Stopping_
18 Q0 2658 72 0.130855 BM25_Stopping_
18 Q0 1065 73 0.128398 BM25_Stopping_
18 Q0 2723 74 0.126949 BM25_Stopping_
18 Q0 2904 75 0.126138 BM25_Stopping_
18 Q0 2586 76 0.125223 BM25_Stopping_
18 Q0 3110 77 0.124254 BM25_Stopping_
18 Q0 3073 78 0.122798 BM25_Stopping_
18 Q0 1204 79 0.119322 BM25_Stopping_
18 Q0 1747 80 0.118250 BM25_Stopping_
18 Q0 1684 81 0.117389 BM25_Stopping_
18 Q0 3044 82 0.116503 BM25_Stopping_
18 Q0 2107 83 0.115983 BM25_Stopping_
18 Q0 1008 84 0.115366 BM25_Stopping_
18 Q0 2064 85 0.115236 BM25_Stopping_
18 Q0 2423 86 0.114456 BM25_Stopping_
18 Q0 1922 87 0.113105 BM25_Stopping_
18 Q0 2727 88 0.112084 BM25_Stopping_
18 Q0 1957 89 0.110512 BM25_Stopping_
18 Q0 333 90 0.109046 BM25_Stopping_
18 Q0 3074 91 0.108387 BM25_Stopping_
18 Q0 1554 92 0.107987 BM25_Stopping_
18 Q0 2514 93 0.106222 BM25_Stopping_
18 Q0 1341 94 0.105106 BM25_Stopping_
18 Q0 797 95 0.104544 BM25_Stopping_
18 Q0 1992 96 0.104364 BM25_Stopping_
18 Q0 1066 97 0.100399 BM25_Stopping_
18 Q0 3173 98 0.095960 BM25_Stopping_
18 Q0 2888 99 0.095060 BM25_Stopping_
18 Q0 2111 100 0.091737 BM25_Stopping_
