query_id Q0 docid rank BM25_Stopping_score system_name
13 Q0 2464 1 0.791043 BM25_Stopping_
13 Q0 1795 2 0.740188 BM25_Stopping_
13 Q0 2748 3 0.627721 BM25_Stopping_
13 Q0 2495 4 0.586921 BM25_Stopping_
13 Q0 2491 5 0.583568 BM25_Stopping_
13 Q0 2897 6 0.530477 BM25_Stopping_
13 Q0 48 7 0.501580 BM25_Stopping_
13 Q0 3080 8 0.489430 BM25_Stopping_
13 Q0 2834 9 0.480468 BM25_Stopping_
13 Q0 1362 10 0.463673 BM25_Stopping_
13 Q0 1947 11 0.426502 BM25_Stopping_
13 Q0 2835 12 0.399999 BM25_Stopping_
13 Q0 2344 13 0.398196 BM25_Stopping_
13 Q0 2611 14 0.363013 BM25_Stopping_
13 Q0 2904 15 0.360607 BM25_Stopping_
13 Q0 1652 16 0.349900 BM25_Stopping_
13 Q0 1655 17 0.343800 BM25_Stopping_
13 Q0 195 18 0.341114 BM25_Stopping_
13 Q0 1289 19 0.329529 BM25_Stopping_
13 Q0 2616 20 0.326908 BM25_Stopping_
13 Q0 1756 21 0.325840 BM25_Stopping_
13 Q0 2533 22 0.325840 BM25_Stopping_
13 Q0 1414 23 0.318705 BM25_Stopping_
13 Q0 1064 24 0.318705 BM25_Stopping_
13 Q0 1187 25 0.308569 BM25_Stopping_
13 Q0 3054 26 0.290169 BM25_Stopping_
13 Q0 1232 27 0.290117 BM25_Stopping_
13 Q0 1231 28 0.288828 BM25_Stopping_
13 Q0 66 29 0.281694 BM25_Stopping_
13 Q0 1757 30 0.275040 BM25_Stopping_
13 Q0 2964 31 0.271099 BM25_Stopping_
13 Q0 230 32 0.266235 BM25_Stopping_
13 Q0 1670 33 0.256839 BM25_Stopping_
13 Q0 3066 34 0.255710 BM25_Stopping_
13 Q0 1065 35 0.245986 BM25_Stopping_
13 Q0 2253 36 0.240603 BM25_Stopping_
13 Q0 2586 37 0.239904 BM25_Stopping_
13 Q0 2836 38 0.231947 BM25_Stopping_
13 Q0 1204 39 0.228600 BM25_Stopping_
13 Q0 2107 40 0.222201 BM25_Stopping_
13 Q0 1922 41 0.216688 BM25_Stopping_
13 Q0 333 42 0.208912 BM25_Stopping_
13 Q0 797 43 0.200287 BM25_Stopping_
13 Q0 1992 44 0.199943 BM25_Stopping_
13 Q0 1886 45 0.197190 BM25_Stopping_
13 Q0 1066 46 0.192346 BM25_Stopping_
13 Q0 2133 47 0.191681 BM25_Stopping_
13 Q0 1564 48 0.189987 BM25_Stopping_
13 Q0 3173 49 0.183842 BM25_Stopping_
13 Q0 2888 50 0.182117 BM25_Stopping_
13 Q0 2680 51 0.174084 BM25_Stopping_
13 Q0 2701 52 0.170276 BM25_Stopping_
13 Q0 1651 53 0.169127 BM25_Stopping_
13 Q0 1807 54 0.167236 BM25_Stopping_
13 Q0 2290 55 0.156112 BM25_Stopping_
13 Q0 2929 56 0.155734 BM25_Stopping_
13 Q0 2423 57 0.155037 BM25_Stopping_
13 Q0 2944 58 0.153890 BM25_Stopping_
13 Q0 3175 59 0.152134 BM25_Stopping_
13 Q0 1676 60 0.151862 BM25_Stopping_
13 Q0 693 61 0.146409 BM25_Stopping_
13 Q0 3171 62 0.139348 BM25_Stopping_
13 Q0 1973 63 0.138392 BM25_Stopping_
13 Q0 3083 64 0.138066 BM25_Stopping_
13 Q0 93 65 0.137737 BM25_Stopping_
13 Q0 2858 66 0.131424 BM25_Stopping_
13 Q0 3125 67 0.131188 BM25_Stopping_
13 Q0 117 68 0.128941 BM25_Stopping_
13 Q0 1786 69 0.127622 BM25_Stopping_
13 Q0 2801 70 0.125557 BM25_Stopping_
13 Q0 2411 71 0.124706 BM25_Stopping_
13 Q0 2433 72 0.123137 BM25_Stopping_
13 Q0 2559 73 0.122397 BM25_Stopping_
13 Q0 3018 74 0.122331 BM25_Stopping_
13 Q0 1223 75 0.119415 BM25_Stopping_
13 Q0 2508 76 0.118610 BM25_Stopping_
13 Q0 1345 77 0.117689 BM25_Stopping_
13 Q0 2537 78 0.114374 BM25_Stopping_
13 Q0 2645 79 0.113363 BM25_Stopping_
13 Q0 124 80 0.110959 BM25_Stopping_
13 Q0 3110 81 0.110538 BM25_Stopping_
13 Q0 2812 82 0.110302 BM25_Stopping_
13 Q0 1195 83 0.109768 BM25_Stopping_
13 Q0 2195 84 0.108274 BM25_Stopping_
13 Q0 2715 85 0.107614 BM25_Stopping_
13 Q0 1824 86 0.106300 BM25_Stopping_
13 Q0 1951 87 0.105211 BM25_Stopping_
13 Q0 2569 88 0.105189 BM25_Stopping_
13 Q0 2552 89 0.104958 BM25_Stopping_
13 Q0 149 90 0.104638 BM25_Stopping_
13 Q0 1708 91 0.102623 BM25_Stopping_
13 Q0 3005 92 0.102029 BM25_Stopping_
13 Q0 2953 93 0.101145 BM25_Stopping_
13 Q0 267 94 0.101066 BM25_Stopping_
13 Q0 1290 95 0.099233 BM25_Stopping_
13 Q0 2716 96 0.098607 BM25_Stopping_
13 Q0 3002 97 0.097382 BM25_Stopping_
13 Q0 2388 98 0.096583 BM25_Stopping_
13 Q0 2969 99 0.095409 BM25_Stopping_
13 Q0 2134 100 0.093888 BM25_Stopping_
