query_id Q0 docid rank TfIdf_Stem_score system_name
5 Q0 2065 1 3.288651 TfIdf_Stem
5 Q0 2342 2 2.816993 TfIdf_Stem
5 Q0 2307 3 1.690196 TfIdf_Stem
5 Q0 1135 4 1.690196 TfIdf_Stem
5 Q0 2378 5 1.408497 TfIdf_Stem
5 Q0 1272 6 1.126797 TfIdf_Stem
5 Q0 1892 7 1.090536 TfIdf_Stem
5 Q0 1216 8 1.035056 TfIdf_Stem
5 Q0 111 9 0.943316 TfIdf_Stem
5 Q0 2210 10 0.943316 TfIdf_Stem
5 Q0 2000 11 0.943316 TfIdf_Stem
5 Q0 1719 12 0.845098 TfIdf_Stem
5 Q0 1652 13 0.845098 TfIdf_Stem
5 Q0 2051 14 0.845098 TfIdf_Stem
5 Q0 2178 15 0.845098 TfIdf_Stem
5 Q0 1307 16 0.753357 TfIdf_Stem
5 Q0 942 17 0.753357 TfIdf_Stem
5 Q0 1925 18 0.753357 TfIdf_Stem
5 Q0 2252 19 0.753357 TfIdf_Stem
5 Q0 2311 20 0.563399 TfIdf_Stem
5 Q0 2162 21 0.563399 TfIdf_Stem
5 Q0 1753 22 0.563399 TfIdf_Stem
5 Q0 2341 23 0.563399 TfIdf_Stem
5 Q0 2127 24 0.563399 TfIdf_Stem
5 Q0 1665 25 0.563399 TfIdf_Stem
5 Q0 2371 26 0.563399 TfIdf_Stem
5 Q0 2114 27 0.563399 TfIdf_Stem
5 Q0 1828 28 0.563399 TfIdf_Stem
5 Q0 1456 29 0.563399 TfIdf_Stem
5 Q0 2105 30 0.563399 TfIdf_Stem
5 Q0 1855 31 0.563399 TfIdf_Stem
5 Q0 721 32 0.563399 TfIdf_Stem
5 Q0 1747 33 0.563399 TfIdf_Stem
5 Q0 1707 34 0.471658 TfIdf_Stem
5 Q0 2682 35 0.471658 TfIdf_Stem
5 Q0 3175 36 0.471658 TfIdf_Stem
5 Q0 2268 37 0.471658 TfIdf_Stem
5 Q0 1811 38 0.471658 TfIdf_Stem
5 Q0 597 39 0.281699 TfIdf_Stem
5 Q0 3142 40 0.281699 TfIdf_Stem
5 Q0 2383 41 0.281699 TfIdf_Stem
5 Q0 1281 42 0.281699 TfIdf_Stem
5 Q0 2160 43 0.281699 TfIdf_Stem
5 Q0 748 44 0.281699 TfIdf_Stem
5 Q0 2681 45 0.281699 TfIdf_Stem
5 Q0 1695 46 0.281699 TfIdf_Stem
5 Q0 618 47 0.281699 TfIdf_Stem
5 Q0 1470 48 0.281699 TfIdf_Stem
5 Q0 2536 49 0.281699 TfIdf_Stem
5 Q0 1308 50 0.281699 TfIdf_Stem
5 Q0 493 51 0.281699 TfIdf_Stem
5 Q0 1951 52 0.281699 TfIdf_Stem
5 Q0 392 53 0.281699 TfIdf_Stem
5 Q0 2308 54 0.281699 TfIdf_Stem
5 Q0 3151 55 0.281699 TfIdf_Stem
5 Q0 243 56 0.281699 TfIdf_Stem
5 Q0 2273 57 0.281699 TfIdf_Stem
5 Q0 1878 58 0.281699 TfIdf_Stem
5 Q0 3088 59 0.281699 TfIdf_Stem
5 Q0 185 60 0.281699 TfIdf_Stem
5 Q0 1962 61 0.281699 TfIdf_Stem
5 Q0 3056 62 0.281699 TfIdf_Stem
5 Q0 2368 63 0.281699 TfIdf_Stem
5 Q0 1380 64 0.281699 TfIdf_Stem
5 Q0 2938 65 0.281699 TfIdf_Stem
5 Q0 1647 66 0.281699 TfIdf_Stem
5 Q0 2438 67 0.281699 TfIdf_Stem
5 Q0 2198 68 0.281699 TfIdf_Stem
5 Q0 2156 69 0.281699 TfIdf_Stem
5 Q0 731 70 0.281699 TfIdf_Stem
5 Q0 630 71 0.281699 TfIdf_Stem
5 Q0 637 72 0.281699 TfIdf_Stem
5 Q0 1455 73 0.281699 TfIdf_Stem
5 Q0 1457 74 0.281699 TfIdf_Stem
5 Q0 1519 75 0.281699 TfIdf_Stem
5 Q0 2034 76 0.281699 TfIdf_Stem
5 Q0 675 77 0.281699 TfIdf_Stem
5 Q0 3045 78 0.281699 TfIdf_Stem
5 Q0 2556 79 0.281699 TfIdf_Stem
5 Q0 986 80 0.281699 TfIdf_Stem
5 Q0 950 81 0.281699 TfIdf_Stem
5 Q0 1852 82 0.281699 TfIdf_Stem
5 Q0 1255 83 0.281699 TfIdf_Stem
5 Q0 1393 84 0.281699 TfIdf_Stem
5 Q0 1591 85 0.281699 TfIdf_Stem
5 Q0 1186 86 0.281699 TfIdf_Stem
5 Q0 1029 87 0.281699 TfIdf_Stem
5 Q0 2353 88 0.281699 TfIdf_Stem
5 Q0 605 89 0.281699 TfIdf_Stem
5 Q0 2643 90 0.281699 TfIdf_Stem
5 Q0 993 91 0.000000 TfIdf_Stem
5 Q0 428 92 0.000000 TfIdf_Stem
5 Q0 1942 93 0.000000 TfIdf_Stem
5 Q0 2170 94 0.000000 TfIdf_Stem
5 Q0 344 95 0.000000 TfIdf_Stem
5 Q0 345 96 0.000000 TfIdf_Stem
5 Q0 346 97 0.000000 TfIdf_Stem
5 Q0 2850 98 0.000000 TfIdf_Stem
5 Q0 715 99 0.000000 TfIdf_Stem
5 Q0 710 100 0.000000 TfIdf_Stem
