query_id Q0 docid rank TfIdf_Stem_score system_name
4 Q0 2276 1 3.063818 TfIdf_Stem
4 Q0 2914 2 2.610436 TfIdf_Stem
4 Q0 2849 3 2.295501 TfIdf_Stem
4 Q0 2949 4 2.288549 TfIdf_Stem
4 Q0 1951 5 2.235295 TfIdf_Stem
4 Q0 2709 6 2.161236 TfIdf_Stem
4 Q0 3135 7 2.003407 TfIdf_Stem
4 Q0 2313 8 1.936248 TfIdf_Stem
4 Q0 2216 9 1.931840 TfIdf_Stem
4 Q0 2060 10 1.897484 TfIdf_Stem
4 Q0 1936 11 1.831672 TfIdf_Stem
4 Q0 1771 12 1.827818 TfIdf_Stem
4 Q0 2649 13 1.818380 TfIdf_Stem
4 Q0 1366 14 1.761908 TfIdf_Stem
4 Q0 2893 15 1.754103 TfIdf_Stem
4 Q0 2402 16 1.742933 TfIdf_Stem
4 Q0 2433 17 1.741854 TfIdf_Stem
4 Q0 2734 18 1.734039 TfIdf_Stem
4 Q0 2594 19 1.720412 TfIdf_Stem
4 Q0 2454 20 1.659075 TfIdf_Stem
4 Q0 1003 21 1.627135 TfIdf_Stem
4 Q0 2032 22 1.603407 TfIdf_Stem
4 Q0 2406 23 1.574873 TfIdf_Stem
4 Q0 1525 24 1.566533 TfIdf_Stem
4 Q0 1862 25 1.531315 TfIdf_Stem
4 Q0 3082 26 1.528433 TfIdf_Stem
4 Q0 1710 27 1.520412 TfIdf_Stem
4 Q0 2452 28 1.481648 TfIdf_Stem
4 Q0 2198 29 1.481648 TfIdf_Stem
4 Q0 2197 30 1.481339 TfIdf_Stem
4 Q0 2004 31 1.454193 TfIdf_Stem
4 Q0 2812 32 1.434811 TfIdf_Stem
4 Q0 3077 33 1.434811 TfIdf_Stem
4 Q0 241 34 1.408021 TfIdf_Stem
4 Q0 1928 35 1.402060 TfIdf_Stem
4 Q0 2998 36 1.380618 TfIdf_Stem
4 Q0 2113 37 1.371466 TfIdf_Stem
4 Q0 3130 38 1.350697 TfIdf_Stem
4 Q0 2261 39 1.347815 TfIdf_Stem
4 Q0 2314 40 1.341854 TfIdf_Stem
4 Q0 2187 41 1.317945 TfIdf_Stem
4 Q0 2547 42 1.317945 TfIdf_Stem
4 Q0 1680 43 1.295017 TfIdf_Stem
4 Q0 1747 44 1.290491 TfIdf_Stem
4 Q0 3137 45 1.287609 TfIdf_Stem
4 Q0 855 46 1.281648 TfIdf_Stem
4 Q0 1659 47 1.265503 TfIdf_Stem
4 Q0 527 48 1.260206 TfIdf_Stem
4 Q0 2176 49 1.252391 TfIdf_Stem
4 Q0 2481 50 1.245438 TfIdf_Stem
4 Q0 2667 51 1.245438 TfIdf_Stem
4 Q0 2846 52 1.240824 TfIdf_Stem
4 Q0 2082 53 1.240824 TfIdf_Stem
4 Q0 2114 54 1.240824 TfIdf_Stem
4 Q0 3011 55 1.230285 TfIdf_Stem
4 Q0 1381 56 1.229206 TfIdf_Stem
4 Q0 2954 57 1.221442 TfIdf_Stem
4 Q0 616 58 1.221442 TfIdf_Stem
4 Q0 1543 59 1.220054 TfIdf_Stem
4 Q0 2081 60 1.212290 TfIdf_Stem
4 Q0 2484 61 1.202060 TfIdf_Stem
4 Q0 2740 62 1.180618 TfIdf_Stem
4 Q0 2665 63 1.180618 TfIdf_Stem
4 Q0 2811 64 1.180618 TfIdf_Stem
4 Q0 2699 65 1.161236 TfIdf_Stem
4 Q0 2178 66 1.161236 TfIdf_Stem
4 Q0 2092 67 1.157690 TfIdf_Stem
4 Q0 1745 68 1.156570 TfIdf_Stem
4 Q0 2911 69 1.150014 TfIdf_Stem
4 Q0 1135 70 1.136248 TfIdf_Stem
4 Q0 2160 71 1.120412 TfIdf_Stem
4 Q0 3124 72 1.101030 TfIdf_Stem
4 Q0 2485 73 1.099642 TfIdf_Stem
4 Q0 2390 74 1.098563 TfIdf_Stem
4 Q0 2196 75 1.096364 TfIdf_Stem
4 Q0 2263 76 1.093938 TfIdf_Stem
4 Q0 3117 77 1.089412 TfIdf_Stem
4 Q0 3032 78 1.088333 TfIdf_Stem
4 Q0 2722 79 1.081648 TfIdf_Stem
4 Q0 2289 80 1.068951 TfIdf_Stem
4 Q0 1350 81 1.062266 TfIdf_Stem
4 Q0 2969 82 1.061146 TfIdf_Stem
4 Q0 2181 83 1.054193 TfIdf_Stem
4 Q0 796 84 1.043963 TfIdf_Stem
4 Q0 1845 85 1.031672 TfIdf_Stem
4 Q0 2152 86 1.031672 TfIdf_Stem
4 Q0 3165 87 1.022521 TfIdf_Stem
4 Q0 2941 88 1.021442 TfIdf_Stem
4 Q0 849 89 1.021442 TfIdf_Stem
4 Q0 2967 90 1.012290 TfIdf_Stem
4 Q0 2535 91 1.004218 TfIdf_Stem
4 Q0 1768 92 1.002060 TfIdf_Stem
4 Q0 1769 93 0.993987 TfIdf_Stem
4 Q0 2155 94 0.980618 TfIdf_Stem
4 Q0 2686 95 0.969396 TfIdf_Stem
4 Q0 1410 96 0.969396 TfIdf_Stem
4 Q0 2453 97 0.967921 TfIdf_Stem
4 Q0 3025 98 0.967921 TfIdf_Stem
4 Q0 1805 99 0.967921 TfIdf_Stem
4 Q0 3131 100 0.965722 TfIdf_Stem
