query_id Q0 docid rank TfIdf_score system_name
59 Q0 3134 1 1.552237 BM25
59 Q0 2905 2 1.367175 BM25
59 Q0 3046 3 1.255701 BM25
59 Q0 1725 4 1.138989 BM25
59 Q0 2978 5 1.117080 BM25
59 Q0 1527 6 1.053593 BM25
59 Q0 2882 7 1.023423 BM25
59 Q0 1457 8 1.007335 BM25
59 Q0 1827 9 0.997747 BM25
59 Q0 1665 10 0.958989 BM25
59 Q0 1855 11 0.947025 BM25
59 Q0 1856 12 0.946224 BM25
59 Q0 2554 13 0.912715 BM25
59 Q0 2455 14 0.903609 BM25
59 Q0 3002 15 0.901632 BM25
59 Q0 2111 16 0.881511 BM25
59 Q0 1032 17 0.881465 BM25
59 Q0 3000 18 0.876883 BM25
59 Q0 2127 19 0.856206 BM25
59 Q0 3059 20 0.855270 BM25
59 Q0 1847 21 0.850134 BM25
59 Q0 2525 22 0.842697 BM25
59 Q0 144 23 0.837136 BM25
59 Q0 1681 24 0.836637 BM25
59 Q0 3049 25 0.835553 BM25
59 Q0 891 26 0.825189 BM25
59 Q0 1456 27 0.823491 BM25
59 Q0 1235 28 0.820917 BM25
59 Q0 695 29 0.817904 BM25
59 Q0 2307 30 0.813263 BM25
59 Q0 2208 31 0.812525 BM25
59 Q0 1724 32 0.799850 BM25
59 Q0 2987 33 0.796689 BM25
59 Q0 3048 34 0.794378 BM25
59 Q0 855 35 0.792999 BM25
59 Q0 1976 36 0.791992 BM25
59 Q0 2870 37 0.790033 BM25
59 Q0 1989 38 0.780662 BM25
59 Q0 1366 39 0.752803 BM25
59 Q0 2772 40 0.746050 BM25
59 Q0 651 41 0.743709 BM25
59 Q0 2033 42 0.741175 BM25
59 Q0 1748 43 0.740046 BM25
59 Q0 1455 44 0.735454 BM25
59 Q0 3098 45 0.734423 BM25
59 Q0 2484 46 0.731000 BM25
59 Q0 2407 47 0.728071 BM25
59 Q0 2288 48 0.726249 BM25
59 Q0 3076 49 0.725560 BM25
59 Q0 1727 50 0.725537 BM25
59 Q0 2031 51 0.720727 BM25
59 Q0 2734 52 0.717609 BM25
59 Q0 1961 53 0.715524 BM25
59 Q0 1595 54 0.711716 BM25
59 Q0 2889 55 0.710399 BM25
59 Q0 1182 56 0.706330 BM25
59 Q0 2852 57 0.701366 BM25
59 Q0 2996 58 0.699848 BM25
59 Q0 1486 59 0.698211 BM25
59 Q0 2163 60 0.697622 BM25
59 Q0 2616 61 0.695604 BM25
59 Q0 2832 62 0.694461 BM25
59 Q0 1441 63 0.692170 BM25
59 Q0 1331 64 0.690252 BM25
59 Q0 1516 65 0.688036 BM25
59 Q0 2476 66 0.686161 BM25
59 Q0 2572 67 0.686147 BM25
59 Q0 3121 68 0.685933 BM25
59 Q0 2646 69 0.683549 BM25
59 Q0 2046 70 0.682428 BM25
59 Q0 1752 71 0.681131 BM25
59 Q0 1699 72 0.680913 BM25
59 Q0 2167 73 0.672725 BM25
59 Q0 3077 74 0.671448 BM25
59 Q0 2746 75 0.667536 BM25
59 Q0 2834 76 0.667522 BM25
59 Q0 1206 77 0.664585 BM25
59 Q0 3139 78 0.662204 BM25
59 Q0 1629 79 0.662065 BM25
59 Q0 1711 80 0.659776 BM25
59 Q0 2650 81 0.657193 BM25
59 Q0 2470 82 0.656725 BM25
59 Q0 2628 83 0.654806 BM25
59 Q0 2799 84 0.654037 BM25
59 Q0 70 85 0.654001 BM25
59 Q0 1525 86 0.651295 BM25
59 Q0 3087 87 0.649204 BM25
59 Q0 2342 88 0.645534 BM25
59 Q0 1267 89 0.644359 BM25
59 Q0 2278 90 0.643341 BM25
59 Q0 3126 91 0.639683 BM25
59 Q0 2479 92 0.639261 BM25
59 Q0 2091 93 0.638555 BM25
59 Q0 2876 94 0.636894 BM25
59 Q0 2359 95 0.635752 BM25
59 Q0 2003 96 0.635732 BM25
59 Q0 409 97 0.635077 BM25
59 Q0 3130 98 0.634861 BM25
59 Q0 3080 99 0.633475 BM25
59 Q0 1233 100 0.631895 BM25
