query_id Q0 docid rank TfIdf_with_PseudoRel_score system_name
34 Q0 397 1 1.478460 TfIdf_with_PseudoRel
34 Q0 1946 2 1.448441 TfIdf_with_PseudoRel
34 Q0 1932 3 1.363341 TfIdf_with_PseudoRel
34 Q0 2722 4 1.191997 TfIdf_with_PseudoRel
34 Q0 1524 5 0.771126 TfIdf_with_PseudoRel
34 Q0 3041 6 0.769722 TfIdf_with_PseudoRel
34 Q0 3163 7 0.754085 TfIdf_with_PseudoRel
34 Q0 1936 8 0.692632 TfIdf_with_PseudoRel
34 Q0 3033 9 0.663879 TfIdf_with_PseudoRel
34 Q0 3096 10 0.661441 TfIdf_with_PseudoRel
34 Q0 1856 11 0.632583 TfIdf_with_PseudoRel
34 Q0 1999 12 0.574946 TfIdf_with_PseudoRel
34 Q0 2451 13 0.545547 TfIdf_with_PseudoRel
34 Q0 3057 14 0.537806 TfIdf_with_PseudoRel
34 Q0 2598 15 0.536574 TfIdf_with_PseudoRel
34 Q0 2931 16 0.533875 TfIdf_with_PseudoRel
34 Q0 1644 17 0.531109 TfIdf_with_PseudoRel
34 Q0 1726 18 0.489721 TfIdf_with_PseudoRel
34 Q0 1386 19 0.458692 TfIdf_with_PseudoRel
34 Q0 2388 20 0.430823 TfIdf_with_PseudoRel
34 Q0 849 21 0.428887 TfIdf_with_PseudoRel
34 Q0 3036 22 0.426864 TfIdf_with_PseudoRel
34 Q0 3095 23 0.423355 TfIdf_with_PseudoRel
34 Q0 3154 24 0.417815 TfIdf_with_PseudoRel
34 Q0 2856 25 0.416052 TfIdf_with_PseudoRel
34 Q0 3115 26 0.401744 TfIdf_with_PseudoRel
34 Q0 2887 27 0.396651 TfIdf_with_PseudoRel
34 Q0 40 28 0.394640 TfIdf_with_PseudoRel
34 Q0 1763 29 0.390532 TfIdf_with_PseudoRel
34 Q0 2484 30 0.389228 TfIdf_with_PseudoRel
34 Q0 2266 31 0.389026 TfIdf_with_PseudoRel
34 Q0 1961 32 0.386115 TfIdf_with_PseudoRel
34 Q0 1566 33 0.385298 TfIdf_with_PseudoRel
34 Q0 1700 34 0.369914 TfIdf_with_PseudoRel
34 Q0 2421 35 0.366709 TfIdf_with_PseudoRel
34 Q0 2366 36 0.356564 TfIdf_with_PseudoRel
34 Q0 3084 37 0.354123 TfIdf_with_PseudoRel
34 Q0 2483 38 0.350462 TfIdf_with_PseudoRel
34 Q0 2263 39 0.347949 TfIdf_with_PseudoRel
34 Q0 2885 40 0.344355 TfIdf_with_PseudoRel
34 Q0 1847 41 0.339882 TfIdf_with_PseudoRel
34 Q0 3085 42 0.338322 TfIdf_with_PseudoRel
34 Q0 1643 43 0.332691 TfIdf_with_PseudoRel
34 Q0 2746 44 0.330613 TfIdf_with_PseudoRel
34 Q0 2900 45 0.329207 TfIdf_with_PseudoRel
34 Q0 320 46 0.328003 TfIdf_with_PseudoRel
34 Q0 2195 47 0.327541 TfIdf_with_PseudoRel
34 Q0 531 48 0.325374 TfIdf_with_PseudoRel
34 Q0 1931 49 0.318277 TfIdf_with_PseudoRel
34 Q0 2947 50 0.314051 TfIdf_with_PseudoRel
34 Q0 1638 51 0.311088 TfIdf_with_PseudoRel
34 Q0 2160 52 0.310919 TfIdf_with_PseudoRel
34 Q0 2537 53 0.308379 TfIdf_with_PseudoRel
34 Q0 2966 54 0.306722 TfIdf_with_PseudoRel
34 Q0 1197 55 0.305879 TfIdf_with_PseudoRel
34 Q0 2916 56 0.304524 TfIdf_with_PseudoRel
34 Q0 2385 57 0.304523 TfIdf_with_PseudoRel
34 Q0 2907 58 0.303766 TfIdf_with_PseudoRel
34 Q0 2453 59 0.302634 TfIdf_with_PseudoRel
34 Q0 2289 60 0.301537 TfIdf_with_PseudoRel
34 Q0 1935 61 0.299831 TfIdf_with_PseudoRel
34 Q0 1393 62 0.295208 TfIdf_with_PseudoRel
34 Q0 3042 63 0.293579 TfIdf_with_PseudoRel
34 Q0 1893 64 0.293120 TfIdf_with_PseudoRel
34 Q0 1667 65 0.293120 TfIdf_with_PseudoRel
34 Q0 2501 66 0.288333 TfIdf_with_PseudoRel
34 Q0 2889 67 0.287723 TfIdf_with_PseudoRel
34 Q0 3040 68 0.287098 TfIdf_with_PseudoRel
34 Q0 1015 69 0.285470 TfIdf_with_PseudoRel
34 Q0 2217 70 0.284604 TfIdf_with_PseudoRel
34 Q0 2836 71 0.284207 TfIdf_with_PseudoRel
34 Q0 1440 72 0.276456 TfIdf_with_PseudoRel
34 Q0 2093 73 0.270945 TfIdf_with_PseudoRel
34 Q0 3069 74 0.270650 TfIdf_with_PseudoRel
34 Q0 2146 75 0.266471 TfIdf_with_PseudoRel
34 Q0 2015 76 0.266106 TfIdf_with_PseudoRel
