query_id Q0 docid rank CosineSim_score system_name
2 Q0 3078 1 0.144824 CosineSim
2 Q0 2434 2 0.115465 CosineSim
2 Q0 2863 3 0.105515 CosineSim
2 Q0 3129 4 0.099640 CosineSim
2 Q0 1977 5 0.097193 CosineSim
2 Q0 1519 6 0.097002 CosineSim
2 Q0 497 7 0.096035 CosineSim
2 Q0 2177 8 0.089756 CosineSim
2 Q0 727 9 0.089754 CosineSim
2 Q0 282 10 0.086502 CosineSim
2 Q0 1364 11 0.083868 CosineSim
2 Q0 1012 12 0.083194 CosineSim
2 Q0 1264 13 0.083180 CosineSim
2 Q0 335 14 0.081667 CosineSim
2 Q0 1931 15 0.079949 CosineSim
2 Q0 1010 16 0.079869 CosineSim
2 Q0 1046 17 0.079333 CosineSim
2 Q0 1652 18 0.076433 CosineSim
2 Q0 3136 19 0.076423 CosineSim
2 Q0 2194 20 0.075832 CosineSim
2 Q0 1674 21 0.075590 CosineSim
2 Q0 2250 22 0.075008 CosineSim
2 Q0 1867 23 0.074173 CosineSim
2 Q0 1272 24 0.073788 CosineSim
2 Q0 1259 25 0.073386 CosineSim
2 Q0 1593 26 0.073187 CosineSim
2 Q0 3144 27 0.072901 CosineSim
2 Q0 616 28 0.072708 CosineSim
2 Q0 3202 29 0.072692 CosineSim
2 Q0 1861 30 0.072618 CosineSim
2 Q0 1154 31 0.071727 CosineSim
2 Q0 1588 32 0.071391 CosineSim
2 Q0 47 33 0.071209 CosineSim
2 Q0 397 34 0.070810 CosineSim
2 Q0 1014 35 0.070110 CosineSim
2 Q0 3059 36 0.069935 CosineSim
2 Q0 2534 37 0.069745 CosineSim
2 Q0 3171 38 0.069729 CosineSim
2 Q0 1062 39 0.069481 CosineSim
2 Q0 2342 40 0.069105 CosineSim
2 Q0 1553 41 0.068874 CosineSim
2 Q0 242 42 0.068815 CosineSim
2 Q0 2939 43 0.068736 CosineSim
2 Q0 1623 44 0.068508 CosineSim
2 Q0 2439 45 0.068406 CosineSim
2 Q0 2852 46 0.068006 CosineSim
2 Q0 2572 47 0.067991 CosineSim
2 Q0 2047 48 0.067681 CosineSim
2 Q0 3086 49 0.066920 CosineSim
2 Q0 2786 50 0.066795 CosineSim
2 Q0 531 51 0.066765 CosineSim
2 Q0 1379 52 0.066565 CosineSim
2 Q0 2980 53 0.066453 CosineSim
2 Q0 1975 54 0.066356 CosineSim
2 Q0 2215 55 0.066240 CosineSim
2 Q0 2039 56 0.065448 CosineSim
2 Q0 3117 57 0.065058 CosineSim
2 Q0 1542 58 0.065031 CosineSim
2 Q0 2971 59 0.064546 CosineSim
2 Q0 1309 60 0.064383 CosineSim
2 Q0 2905 61 0.064173 CosineSim
2 Q0 1846 62 0.064102 CosineSim
2 Q0 2002 63 0.064005 CosineSim
2 Q0 1527 64 0.063859 CosineSim
2 Q0 1315 65 0.063609 CosineSim
2 Q0 2195 66 0.063600 CosineSim
2 Q0 435 67 0.063115 CosineSim
2 Q0 1334 68 0.062847 CosineSim
2 Q0 492 69 0.061846 CosineSim
2 Q0 2812 70 0.061706 CosineSim
2 Q0 1625 71 0.061650 CosineSim
2 Q0 3033 72 0.061601 CosineSim
2 Q0 1397 73 0.061532 CosineSim
2 Q0 2368 74 0.061432 CosineSim
2 Q0 1305 75 0.061105 CosineSim
2 Q0 1486 76 0.060899 CosineSim
2 Q0 2451 77 0.060874 CosineSim
2 Q0 1877 78 0.060405 CosineSim
2 Q0 626 79 0.060279 CosineSim
2 Q0 1651 80 0.059560 CosineSim
2 Q0 1166 81 0.058726 CosineSim
2 Q0 2899 82 0.058510 CosineSim
2 Q0 3110 83 0.058451 CosineSim
2 Q0 1200 84 0.058278 CosineSim
2 Q0 2304 85 0.058271 CosineSim
2 Q0 1886 86 0.058130 CosineSim
2 Q0 276 87 0.057924 CosineSim
2 Q0 3056 88 0.057906 CosineSim
2 Q0 2125 89 0.057777 CosineSim
2 Q0 1821 90 0.057745 CosineSim
2 Q0 1391 91 0.057634 CosineSim
2 Q0 1671 92 0.057587 CosineSim
2 Q0 1117 93 0.057571 CosineSim
2 Q0 847 94 0.057488 CosineSim
2 Q0 3072 95 0.057155 CosineSim
2 Q0 1676 96 0.057059 CosineSim
2 Q0 58 97 0.056881 CosineSim
2 Q0 2486 98 0.056816 CosineSim
2 Q0 1564 99 0.056673 CosineSim
2 Q0 1569 100 0.056612 CosineSim
