query_id Q0 docid rank TfIdf_Stem_score system_name
1 Q0 1591 1 4.214420 TfIdf_Stem
1 Q0 1680 2 4.013733 TfIdf_Stem
1 Q0 1930 3 3.742477 TfIdf_Stem
1 Q0 2319 4 3.612360 TfIdf_Stem
1 Q0 1747 5 2.608927 TfIdf_Stem
1 Q0 3087 6 2.408240 TfIdf_Stem
1 Q0 1033 7 2.307897 TfIdf_Stem
1 Q0 1462 8 2.207553 TfIdf_Stem
1 Q0 2188 9 2.207553 TfIdf_Stem
1 Q0 1728 10 1.906523 TfIdf_Stem
1 Q0 2357 11 1.906523 TfIdf_Stem
1 Q0 1665 12 1.906523 TfIdf_Stem
1 Q0 1827 13 1.906523 TfIdf_Stem
1 Q0 2840 14 1.806180 TfIdf_Stem
1 Q0 2153 15 1.806180 TfIdf_Stem
1 Q0 1519 16 1.806180 TfIdf_Stem
1 Q0 1108 17 1.806180 TfIdf_Stem
1 Q0 1534 18 1.705837 TfIdf_Stem
1 Q0 2868 19 1.705837 TfIdf_Stem
1 Q0 2080 20 1.605493 TfIdf_Stem
1 Q0 2314 21 1.605493 TfIdf_Stem
1 Q0 2311 22 1.605493 TfIdf_Stem
1 Q0 2105 23 1.505150 TfIdf_Stem
1 Q0 2535 24 1.505150 TfIdf_Stem
1 Q0 1749 25 1.505150 TfIdf_Stem
1 Q0 2081 26 1.505150 TfIdf_Stem
1 Q0 1652 27 1.404807 TfIdf_Stem
1 Q0 2218 28 1.404807 TfIdf_Stem
1 Q0 3012 29 1.404807 TfIdf_Stem
1 Q0 637 30 1.404807 TfIdf_Stem
1 Q0 1697 31 1.304463 TfIdf_Stem
1 Q0 1912 32 1.304463 TfIdf_Stem
1 Q0 2867 33 1.204120 TfIdf_Stem
1 Q0 2342 34 1.204120 TfIdf_Stem
1 Q0 1698 35 1.204120 TfIdf_Stem
1 Q0 1699 36 1.204120 TfIdf_Stem
1 Q0 2582 37 1.204120 TfIdf_Stem
1 Q0 1533 38 1.103777 TfIdf_Stem
1 Q0 695 39 1.103777 TfIdf_Stem
1 Q0 1315 40 1.103777 TfIdf_Stem
1 Q0 1071 41 1.103777 TfIdf_Stem
1 Q0 3050 42 1.103777 TfIdf_Stem
1 Q0 1748 43 1.103777 TfIdf_Stem
1 Q0 1892 44 1.103777 TfIdf_Stem
1 Q0 1238 45 1.003433 TfIdf_Stem
1 Q0 2106 46 1.003433 TfIdf_Stem
1 Q0 1173 47 1.003433 TfIdf_Stem
1 Q0 2841 48 1.003433 TfIdf_Stem
1 Q0 1829 49 1.003433 TfIdf_Stem
1 Q0 1671 50 1.003433 TfIdf_Stem
1 Q0 1937 51 1.003433 TfIdf_Stem
1 Q0 2371 52 1.003433 TfIdf_Stem
1 Q0 1902 53 1.003433 TfIdf_Stem
1 Q0 2536 54 1.003433 TfIdf_Stem
1 Q0 2297 55 1.003433 TfIdf_Stem
1 Q0 2904 56 0.903090 TfIdf_Stem
1 Q0 1045 57 0.903090 TfIdf_Stem
1 Q0 3028 58 0.903090 TfIdf_Stem
1 Q0 2095 59 0.903090 TfIdf_Stem
1 Q0 3174 60 0.903090 TfIdf_Stem
